transaction_id,merchant_name,transaction_date,amount,customer_id,cashback_amount,category
txn_001,Carrefour,2026-01-14,45.50,cust_2301,2.28,Groceries
txn_002,Carrefour,2026-01-14,78.20,cust_4512,3.91,Groceries
txn_003,Carrefour,2026-01-14,120.00,cust_7823,6.00,Electronics
txn_004,Carrefour,2026-01-13,34.90,cust_1205,1.75,Groceries
txn_005,Carrefour,2026-01-13,89.50,cust_3456,4.48,Home & Garden
txn_006,Carrefour,2026-01-13,156.30,cust_6789,7.82,Electronics
txn_007,Carrefour,2026-01-13,42.10,cust_2301,2.11,Groceries
txn_008,Carrefour,2026-01-12,67.80,cust_8901,3.39,Groceries
txn_009,Carrefour,2026-01-12,95.40,cust_4512,4.77,Clothing
txn_010,Carrefour,2026-01-12,210.00,cust_5634,10.50,Electronics
txn_011,Carrefour,2026-01-11,52.30,cust_7823,2.62,Groceries
txn_012,Carrefour,2026-01-11,73.60,cust_1205,3.68,Groceries
txn_013,Carrefour,2026-01-11,188.90,cust_3456,9.45,Home & Garden
txn_014,Carrefour,2026-01-10,41.20,cust_6789,2.06,Groceries
txn_015,Carrefour,2026-01-10,99.80,cust_2301,4.99,Electronics
txn_016,Lidl,2026-01-14,32.50,cust_9012,0.98,Groceries
txn_017,Lidl,2026-01-14,48.70,cust_3345,1.46,Groceries
txn_018,Lidl,2026-01-14,65.20,cust_5567,1.96,Groceries
txn_019,Lidl,2026-01-13,29.90,cust_7789,0.90,Groceries
txn_020,Lidl,2026-01-13,54.30,cust_9012,1.63,Groceries
txn_021,Lidl,2026-01-13,71.50,cust_3345,2.15,Electronics
txn_022,Lidl,2026-01-12,38.20,cust_5567,1.15,Groceries
txn_023,Lidl,2026-01-12,62.80,cust_7789,1.88,Groceries
txn_024,Lidl,2026-01-12,85.40,cust_9012,2.56,Home & Garden
txn_025,Lidl,2026-01-11,44.60,cust_3345,1.34,Groceries
txn_026,Kaufland,2026-01-14,56.30,cust_1123,1.97,Groceries
txn_027,Kaufland,2026-01-14,82.40,cust_2234,2.88,Groceries
txn_028,Kaufland,2026-01-14,115.70,cust_3345,4.05,Electronics
txn_029,Kaufland,2026-01-13,47.90,cust_4456,1.68,Groceries
txn_030,Kaufland,2026-01-13,93.20,cust_5567,3.26,Home & Garden
txn_031,Kaufland,2026-01-13,128.50,cust_6678,4.50,Electronics
txn_032,Kaufland,2026-01-12,52.80,cust_1123,1.85,Groceries
txn_033,Kaufland,2026-01-12,88.60,cust_2234,3.10,Groceries
txn_034,Kaufland,2026-01-12,142.30,cust_3345,4.98,Electronics
txn_035,Kaufland,2026-01-11,61.40,cust_4456,2.15,Groceries
txn_036,Penny,2026-01-14,28.50,cust_7789,0.71,Groceries
txn_037,Penny,2026-01-14,41.20,cust_8890,1.03,Groceries
txn_038,Penny,2026-01-14,53.80,cust_9901,1.35,Groceries
txn_039,Penny,2026-01-13,35.60,cust_7789,0.89,Groceries
txn_040,Penny,2026-01-13,48.90,cust_8890,1.22,Groceries
txn_041,Penny,2026-01-13,67.30,cust_9901,1.68,Electronics
txn_042,Penny,2026-01-12,31.70,cust_7789,0.79,Groceries
txn_043,Penny,2026-01-12,44.50,cust_8890,1.11,Groceries
txn_044,Penny,2026-01-12,58.20,cust_9901,1.46,Home & Garden
txn_045,Penny,2026-01-11,39.80,cust_7789,1.00,Groceries
txn_046,Carrefour,2026-01-09,125.60,cust_4512,6.28,Electronics
txn_047,Carrefour,2026-01-09,58.30,cust_7823,2.92,Groceries
txn_048,Carrefour,2026-01-08,87.90,cust_1205,4.40,Groceries
txn_049,Carrefour,2026-01-08,145.20,cust_3456,7.26,Home & Garden
